Id Sensore,Data-Ora,Valore Medio Giornaliero, Minimo Valore Medio Orario, Massimo Valore Medio Orario
2001,2019/01/01,3.4,1.1,7.5
2001,2019/01/02,6.6,-1.4,12.7
2001,2019/01/03,3.5,-2.3,7.9
2001,2019/01/04,-0.2,-4.0,6.3
2001,2019/01/05,1.3,-4.1,8.8
2001,2019/01/06,3.8,-3.3,17.1
2001,2019/01/07,2.4,-0.4,8.1
2001,2019/01/08,2.1,-1.0,7.8
2001,2019/01/09,5.4,-1.6,10.3
2001,2019/01/10,6.3,-0.7,11.5
2001,2019/01/11,1.3,-4.1,7.7
2001,2019/01/12,1.3,-2.7,8.8
2001,2019/01/13,2.5,-3.3,8.2
2001,2019/01/14,10.8,5.5,15.3
2001,2019/01/15,6.8,1.8,13.6
2001,2019/01/16,6.1,-0.2,13.0
2001,2019/01/17,6.3,5.1,8.1
2001,2019/01/18,4.2,0.6,6.5
2001,2019/01/19,4.0,1.3,6.7
2001,2019/01/20,1.2,-3.0,7.3
2001,2019/01/21,1.2,-2.7,8.1
2001,2019/01/22,0.4,-3.6,7.8
2001,2019/01/23,-0.2,-4.4,2.4
2001,2019/01/24,1.8,-1.0,7.8
2001,2019/01/25,0.3,-4.9,7.3
2001,2019/01/26,0.5,-3.6,7.5
2001,2019/01/27,1.2,-0.9,2.4
2001,2019/01/28,4.1,-0.8,11.2
2001,2019/01/29,2.2,-2.9,8.7
2001,2019/01/30,2.7,0.8,4.5
2001,2019/01/31,1.0,-1.6,3.6
2001,2019/02/01,1.2,0.3,2.1
2001,2019/02/02,3.3,0.9,6.5
2001,2019/02/03,4.5,2.9,7.6
2001,2019/02/04,5.3,1.1,12.0
2001,2019/02/05,3.9,-0.8,11.2
2001,2019/02/06,3.9,-2.2,13.3
2001,2019/02/07,2.8,-2.3,8.4
2001,2019/02/08,4.7,-1.1,12.7
2001,2019/02/09,5.9,-0.4,13.2
2001,2019/02/10,6.1,4.6,7.4
2001,2019/02/11,8.4,4.0,13.1
2001,2019/02/12,10.0,5.7,15.5
2001,2019/02/13,6.5,1.2,12.8
2001,2019/02/14,6.2,-0.3,14.9
2001,2019/02/15,7.8,1.1,16.3
2001,2019/02/16,7.4,0.9,15.6
2001,2019/02/17,7.4,-0.2,17.0
2001,2019/02/18,8.9,3.0,16.3
2001,2019/02/19,8.9,3.0,15.2
2001,2019/02/20,6.5,2.5,13.8
2001,2019/02/21,7.8,2.2,15.3
2001,2019/02/22,10.2,2.6,20.0
2001,2019/02/23,5.9,0.2,9.7
2001,2019/02/24,4.8,-1.8,11.6
2001,2019/02/25,7.9,0.4,16.1
2001,2019/02/26,10.4,2.4,19.8
2001,2019/02/27,12.1,4.2,22.0
2001,2019/02/28,11.6,4.4,19.1
2001,2019/03/01,10.5,3.7,19.3
2001,2019/03/02,9.7,3.2,17.4
2001,2019/03/03,10.6,2.1,18.4
2001,2019/03/04,8.6,6.4,10.2
2001,2019/03/05,9.4,2.3,18.1
2001,2019/03/06,9.6,3.6,14.8
2001,2019/03/07,12.4,9.9,16.0
2001,2019/03/08,12.6,7.3,18.0
