Id Sensore,Data-Ora,Valore Medio Giornaliero, Minimo Valore Medio Orario, Massimo Valore Medio Orario
14391,2020/01/01,0.7,0.1,1.7
14391,2020/01/02,0.7,0.3,1.5
14391,2020/01/03,0.7,0.3,1.1
14391,2020/01/04,0.9,0.5,1.9
14391,2020/01/05,0.8,0.2,2.0
14391,2020/01/06,0.8,0.1,1.8
14391,2020/01/07,1.0,0.4,2.0
14391,2020/01/08,1.1,0.5,1.7
14391,2020/01/09,0.8,0.1,1.6
14391,2020/01/10,0.7,0.1,1.3
14391,2020/01/11,0.7,0.3,1.7
14391,2020/01/12,0.8,0.2,1.7
14391,2020/01/13,0.6,0.1,1.8
14391,2020/01/14,0.7,0.3,1.3
14391,2020/01/15,0.7,0.3,1.1
14391,2020/01/16,0.9,0.2,1.7
14391,2020/01/17,0.9,0.3,1.6
14391,2020/01/18,1.2,0.5,2.0
14391,2020/01/19,1.0,0.2,2.0
14391,2020/01/20,1.1,0.2,1.6
14391,2020/01/21,0.9,0.2,1.9
14391,2020/01/22,0.9,0.0,2.4
14391,2020/01/23,1.0,0.0,1.6
14391,2020/01/24,0.7,0.1,1.6
14391,2020/01/25,0.6,0.1,1.4
14391,2020/01/26,0.8,0.2,2.1
14391,2020/01/27,0.8,0.1,1.5
14391,2020/01/28,1.2,0.5,2.0
14391,2020/01/29,1.6,0.8,2.8
14391,2020/01/30,1.0,0.1,2.1
14391,2020/01/31,0.9,0.2,2.1
14391,2020/02/01,0.9,0.2,1.7
14391,2020/02/02,1.1,0.4,2.1
14391,2020/02/03,1.5,0.5,2.3
14391,2020/02/04,4.2,1.1,10.6
14391,2020/02/05,4.5,0.7,12.7
14391,2020/02/06,0.9,0.3,1.6
14391,2020/02/07,0.9,0.3,2.3
14391,2020/02/08,1.0,0.3,2.2
14391,2020/02/09,0.8,0.4,1.6
14391,2020/02/10,1.0,0.4,1.7
14391,2020/02/11,2.3,0.8,5.8
14391,2020/02/12,1.8,0.3,4.1
14391,2020/02/13,1.1,0.2,2.1
14391,2020/02/14,1.4,0.8,2.4
14391,2020/02/15,1.0,0.2,2.0
14391,2020/02/16,0.8,0.1,2.1
14391,2020/02/17,0.6,0.2,1.4
14391,2020/02/18,1.0,0.0,2.2
14391,2020/02/19,1.5,0.3,3.5
14391,2020/02/20,1.3,0.2,2.3
14391,2020/02/21,1.2,0.5,2.5
14391,2020/02/22,1.0,0.0,2.1
14391,2020/02/23,1.7,0.4,3.3
14391,2020/02/24,2.1,0.7,3.6
14391,2020/02/25,0.8,0.3,2.0
14391,2020/02/26,3.5,0.6,7.0
14391,2020/02/27,1.5,0.7,2.8
14391,2020/02/28,2.3,0.3,4.9
14391,2020/02/29,1.0,0.3,1.9
14391,2020/03/01,1.0,0.4,1.6
14391,2020/03/02,1.7,0.6,3.3
14391,2020/03/03,1.4,0.3,2.7
14391,2020/03/04,1.2,0.4,3.0
14391,2020/03/05,1.5,0.7,2.6
14391,2020/03/06,1.5,0.1,2.8
14391,2020/03/07,1.6,0.1,5.4
14391,2020/03/08,1.2,0.0,2.4
14391,2020/03/09,1.3,0.5,2.5
14391,2020/03/10,1.3,0.5,2.2
14391,2020/03/11,1.1,0.2,2.0
14391,2020/03/12,0.9,0.2,1.8
14391,2020/03/13,1.4,0.5,2.3
14391,2020/03/14,1.6,0.0,2.8
14391,2020/03/15,1.2,0.2,2.4
14391,2020/03/16,1.0,0.1,2.0
14391,2020/03/17,0.9,0.0,2.1
14391,2020/03/18,0.9,0.0,1.9
14391,2020/03/19,1.1,0.2,2.1
14391,2020/03/20,1.2,0.3,2.0
14391,2020/03/21,1.3,0.3,2.2
14391,2020/03/22,2.3,0.7,3.8
14391,2020/03/23,2.7,0.3,4.8
14391,2020/03/24,1.4,0.5,2.9
14391,2020/03/25,1.7,0.6,2.9
14391,2020/03/26,1.4,0.2,2.5
14391,2020/03/27,1.8,0.5,3.0
14391,2020/03/28,1.1,0.1,2.0
14391,2020/03/29,1.4,0.4,2.5
14391,2020/03/30,2.5,1.0,3.7
14391,2020/03/31,2.2,0.0,4.3
14391,2020/04/01,1.3,0.0,2.3
14391,2020/04/02,0.9,0.0,2.1
14391,2020/04/03,1.1,0.0,2.1
14391,2020/04/04,1.1,0.1,2.1
14391,2020/04/05,1.3,0.2,2.9
